"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DUX4L3",41.5500204463664,4.9095232172487,1.41749340126962,3.46352456586489,0.000533147910373914,0.0483510984600599
"PAX3",63.0749800869376,9.79781694386405,2.83223678789459,3.45939187914704,0.000541396588501997,0.048838003959603
"KDELR2",6298.98353121044,1.10707446649317,0.320259060592784,3.45680919829101,0.000546611724962191,0.0490475568446232
"PRKCA",1138.62283326045,1.20073863810954,0.347829933343985,3.45208541014805,0.000556271612953812,0.0496516330741247
"CYP3A5",2948.95712102381,-2.1301617818388,0.617949827174215,-3.44714358377554,0.0005665473953461,0.0498158146018919
"ZNF81",2923.05527423689,-1.13803130988193,0.330621537772573,-3.44209671743999,0.000577223830488838,0.0498158146018919
"IL1B",2403.91420178055,2.64959451602375,0.768594253875985,3.44732542906998,0.000566166163631428,0.0498158146018919
"COL12A1",23151.5205030815,2.22056488911157,0.645186570686089,3.44174071501554,0.000577983967960074,0.0498158146018919
"IFITM10",134.826392551524,-2.1952045076895,0.637877834018525,-3.44141838862792,0.000578673004102406,0.0498158146018919
"FAM46B",440.614065673335,-2.38358585032636,0.691969866067395,-3.44463822373185,0.000571824181156061,0.0498158146018919
"SLC1A3",2042.14945013056,-2.01462556073687,0.585355588156963,-3.4417123565525,0.000578044559098929,0.0498158146018919
"RPSAP58",1834.78315672245,1.09129951633483,0.317563688138941,3.4364744997462,0.000589337828362349,0.0504776779353388
"RFK",806.798702156201,2.383701795717,0.694839033845845,3.43058129956159,0.000602289460257137,0.0513277736507577
"NFKBIZ",5151.92604905122,-0.996191623239254,0.290763768338861,-3.42612021068002,0.000612269342325269,0.0516590834651454
"PLEKHA7",3263.22392752203,-0.879294052049415,0.256560204484832,-3.42724256014304,0.000609744152963788,0.0516590834651454
"FAM84B",137.496870704973,1.26189175408417,0.368495626047588,3.42444160767651,0.00061606422097869,0.0517219461563247
"DPYSL3",869.292733374252,2.42209270355272,0.707857629576899,3.42172296002582,0.000622256824722076,0.0519844999530133
"LRRC63",29.7564914137286,8.7144841953179,2.55035138950862,3.4169739241293,0.000633213443386386,0.0526405234626947
"EVPLL",377.61519014384,-2.12558847795113,0.622947960879294,-3.41214453122352,0.000644539293033464,0.0533206920514855
"CDKL2",35.4899997255021,6.13382881760481,1.79997851653083,3.40772334851351,0.000655072734383685,0.0539290218563733
"UBA6",12500.5283155911,-0.977924411289428,0.28791217878721,-3.39660661597852,0.000682269729753114,0.0549547529351587
"DENND2C",6883.81679562994,-1.56971688613226,0.461805640465261,-3.39908556454788,0.000676115607722269,0.0549547529351587
"SLC52A2",1122.22053000773,1.67973582936886,0.494971980230965,3.3935978125167,0.000689809191952973,0.0549547529351587
"MMD",205.319438964051,1.31407634140996,0.386389612722804,3.40091011285202,0.000671619081305494,0.0549547529351587
"SLC15A2",1867.7296330618,-2.29530882047639,0.676396555710582,-3.39343658848925,0.000690215365009069,0.0549547529351587
"MICAL2",3055.26960265086,1.13899073281328,0.335550981688162,3.39438951149241,0.000687817880045328,0.0549547529351587
"CPS1",330.647154828839,3.49304820519682,1.02786150962847,3.39836463616524,0.000677900008256593,0.0549547529351587
"IMPAD1",2185.93742454567,0.727857785402757,0.21462236773899,3.39134169970547,0.000695513284850769,0.0551178027933841
"SCML1",617.744174274916,-1.10942159988319,0.327457190401566,-3.38798973546036,0.000704068991584391,0.0555363071082776
"IFI44",5332.89821059878,-1.35871451148129,0.401210822492934,-3.38653504668415,0.000707812351476663,0.0555731003180219
"SCUBE1",79.4240340512069,-5.58612421312762,1.65080179832522,-3.38388546632,0.000714678092803677,0.0558535750039519
"AMPD3",3484.34180904167,-1.02199783626085,0.302271953608356,-3.38105412712229,0.00072208317290955,0.0561734336209774
"TNFAIP6",138.472196206367,2.74860379058652,0.814497769228734,3.3745995316712,0.000739231786017538,0.0572448943336595
"PFKP",8129.53993156223,1.30068526234323,0.385880109001384,3.37069787222063,0.000749780382712057,0.0577978432291535
"TIMP1",2304.62057315001,2.2839299147998,0.677902743511909,3.36911147898264,0.000754109221322328,0.0578684990244587
"SFXN3",761.386439496645,1.38993544554618,0.413098089420196,3.3646620043608,0.000766374781059204,0.058544819423347
"SLC39A10",1181.43155404003,1.23422382244768,0.36707571608789,3.3623140086776,0.000772921752542968,0.0587801793783686
"KLHL13",651.706843413786,-2.390554294162,0.711496261464638,-3.35989719642514,0.000779714805169839,0.0590320686646219
"SLC29A1",2931.36753322098,1.62657629115748,0.484346287325969,3.35829206028946,0.000784257022274485,0.0591120659589022
"ELF3",10378.8223471667,-1.75719621277418,0.523722091941953,-3.35520735101802,0.000793055169155177,0.0595107195296577
"KRT16P2",1337.31616162069,-2.99618728896581,0.893705379191223,-3.35254476332823,0.000800722918343908,0.059821409569138
"BTN3A2",5960.18961040761,-1.34998647015817,0.403649814776258,-3.34444962127993,0.00082446001827333,0.0612418154476345
"PPIL2",3413.53522467616,-0.849198030743818,0.253976366442774,-3.3436104415454,0.000826957706085754,0.0612418154476345
"TTLL10",75.2619418885078,-4.08707460897131,1.22281495452153,-3.34234921960905,0.000830724742399772,0.0612533082885119
"C1orf52",653.641823945354,-0.875900032451785,0.262453747836211,-3.33735006519475,0.000845813432519596,0.0615193954044295
"GULP1",295.592397266332,2.86082883395754,0.857138880911363,3.33764912276028,0.00084490370213411,0.0615193954044295
"FAM120C",1785.23291787798,-1.1525083520138,0.345439250843602,-3.33635610081729,0.00084884359482496,0.0615193954044295
"RPSA",66767.9664367482,0.966714220360812,0.289546053836006,3.33872352102006,0.000841642873970957,0.0615193954044295
"PCDH7",2115.5022503561,-1.7504290333757,0.525768322217408,-3.32927823797625,0.000870713727157578,0.0628358897824058
